parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,wise1,wise2,av50
       1.8282266,       11.212688,11.757412 ,10.553301 ,      9.72600,      9.21200,      9.06900,      9.02700,      9.10800,     0.096832398
       1.5877909,       10.058255,10.653848 ,9.356638  ,      8.43700,      7.86800,      7.73700,      7.61900,      7.77700,     0.068325226
       44.846476,       11.190438,12.430063 ,10.113088 ,      8.68800,      8.13800,      7.81800,      7.66100,      7.58300,      0.86353337
       1.9356574,       10.294652,10.899898 ,9.593833  ,      8.65800,      8.05900,      7.97900,      7.86700,      7.97000,      0.38080195
       3.1109776,       10.962145,11.228565 ,10.574071 ,      10.1270,      9.91000,      9.86500,      9.83400,      9.85200,      0.26254336
       1.8885325,       11.367986,11.93675  ,10.681435 ,      9.80000,      9.25000,      9.17600,      9.09200,      9.17600,      0.32713917
       1.4129112,       9.8047060,10.391384 ,9.112865  ,      8.18100,      7.67500,      7.54800,      7.40800,      7.53900,      0.35675451
       4.8144876,       10.336126,10.662484 ,9.877235  ,      9.38800,      9.10600,      9.02400,      8.98000,      9.03400,      0.21565535
      0.78348031,       10.911336,11.552442 ,10.181499 ,      9.21500,      8.59200,      8.47700,      8.37800,      8.51000,      0.19800872
      0.82706416,       10.228192,10.986334 ,9.415588  ,      8.29000,      7.60200,      7.41400,      7.25700,      7.44900,      0.38083692
      0.42118779,       12.353608,12.918296 ,11.660294 ,      10.7410,      10.1690,      10.0370,      9.97600,      10.0610,     0.085645065
      0.86160816,       10.968619,11.526904 ,10.295841 ,      9.42500,      8.93900,      8.74700,      8.68100,      8.78200,      0.26989821
       1.2447843,       12.306109,12.8120985,11.664826 ,      10.8730,      10.3720,      10.2640,      10.2010,      10.2720,       0.0000000
       2.4922158,       11.862827,12.157971 ,11.418908 ,      10.9350,      10.6390,      10.5660,      10.5190,      10.5440,      0.16207057
       6.6364569,       9.8592770,10.134744 ,9.462084  ,      9.06300,      8.81700,      8.77300,      8.70100,      8.72800,       0.0000000
       11.485377,       12.321279,13.180725 ,11.423739 ,      10.3110,      9.65800,      9.50400,      9.39800,      9.45400,      0.33379054
       5.4942166,       9.6780030,10.077946 ,9.142114  ,      8.53600,      8.16900,      8.08300,      8.02300,      8.07600,       0.0000000
       6.7907567,       11.375163,11.867461 ,10.749329 ,      9.99600,      9.53600,      9.41900,      9.33800,      9.41400,      0.27608438
       8.5732933,       11.766481,12.335761 ,11.077511 ,      10.2970,      9.76200,      9.62000,      9.56100,      9.63600,      0.13252359
       3.3010405,       11.004620,11.228888 ,10.651911 ,      10.2830,      10.0790,      10.0160,      9.99200,      10.0110,      0.10050858
       8.2205429,       9.8021170,10.113681 ,9.369981  ,      8.89000,      8.64500,      8.54900,      8.50700,      8.54200,       0.0000000
       1.6384096,       11.655905,12.023502 ,11.143736 ,      10.5110,      10.1570,      10.1350,      10.0880,      10.1290,       0.0000000
       1.8188244,       10.268293,10.8028145,9.618626  ,      8.76500,      8.20500,      8.13600,      8.05400,      8.13500,      0.19358052
       8.0592288,       10.941615,11.366502 ,10.385247 ,      9.71400,      9.35400,      9.24100,      9.20200,      9.25900,     0.054909472
       1.0989383,       10.302948,10.817088 ,9.659752  ,      8.80700,      8.29400,      8.21200,      8.11500,      8.18700,      0.17910207
       6.7908536,       10.979103,11.403839 ,10.428861 ,      9.76300,      9.41900,      9.31400,      9.28600,      9.35300,      0.15144079
       1.9829602,       10.025671,10.575359 ,9.361435  ,      8.50900,      7.98600,      7.88700,      7.77900,      7.89600,      0.16344480
       3.1388556,       10.010745,10.300923 ,9.591759  ,      9.14100,      8.93400,      8.85400,      8.80800,      8.82600,     0.034376086
      0.71738794,       11.164293,11.715918 ,10.509532 ,      9.70800,      9.15600,      8.99400,      8.94900,      9.06800,       0.0000000
       1.5895312,       10.963581,11.46303  ,10.335416 ,      9.55300,      9.06100,      8.93700,      8.88500,      8.95900,      0.16507050
       1.9400646,       9.9396100,10.188366 ,9.448753  ,      8.96900,      8.67400,      8.60600,      8.56800,      8.61400,       0.0000000
       3.8370723,       10.397735,10.718931 ,9.93733   ,      9.43100,      9.10600,      9.01200,      8.98200,      9.01400,       0.0000000
       2.6295969,       10.796325,11.060169 ,10.398988 ,      9.98200,      9.77100,      9.66300,      9.62100,      9.65300,       0.0000000
